Model,avg vertex in degree,std vertex in degree,kurtosis vertex in degree,skewness vertex in degree,avg vertex out degree,std vertex out degree,kurtosis vertex out degree,skewness vertex out degree,avg clustering coefficient,std clustering coefficient,kurtosis clustering coefficient,skewness clustering coefficient
iECBD_1354,4.487779511180447,16.2707280147273,399.66627701326973,18.878272956292783,4.487779511180447,22.475160644130355,688.9868640242105,23.843885240006745,0.17204257880620755,0.1697722077864564,0.5628073629346186,0.8413280336471834
iECD_1391,4.49791013584117,16.26646728748787,397.25443377662486,18.826439021409534,4.49791013584117,22.47067625480476,682.7410374675849,23.740071644816577,0.17290683885244462,0.16984639222463513,0.5527655126068818,0.8341220921858519
iECDH10B_1368,4.497914494264859,16.239916124601322,399.1149724139852,18.86278787410135,4.497914494264859,22.400789169143245,682.621408562512,23.736659061875933,0.17143044067775418,0.16788806161366898,0.32101365515072544,0.7878905262862584
iEcDH1_1363,4.517205422314912,16.309681168018937,400.8123786082962,18.900191252715025,4.517205422314912,22.5187551564507,685.1899691972181,23.770453267243752,0.17251767894923759,0.16745841536825645,0.2991048176281019,0.7740853878766821
iECDH1ME8569_1439,4.5148360229047375,16.341836193927072,401.72713740231626,18.93011825130763,4.5148360229047375,22.51969844144156,684.7618658611714,23.76812483553655,0.1724708083578627,0.16742923715533384,0.29517407568937104,0.7726321344666365
iEcE24377_1341,4.4709212557900155,16.304174229272782,404.76372634985074,18.987698113106482,4.4709212557900155,22.355593747928392,696.046532158838,23.954353498659902,0.17070872592929986,0.1702022964937229,0.9274439539495005,0.9068883254020413
iECED1_1282,4.443450815360337,16.051881477910282,401.3653103569763,18.91179425294157,4.443450815360337,22.155554161457786,662.947238709408,23.43503682170313,0.16851012852044225,0.1706687314269315,0.6053678123018145,0.8752616211431988
iECH74115_1262,4.467690677966102,16.027486142246797,392.237003495753,18.70238625299458,4.467690677966102,22.14745017666929,662.3166599790501,23.410251944551018,0.16885035391852687,0.16972644147193666,0.7644870760287139,0.8992719331949575
iEcHS_1320,4.485773409208484,16.323819297128164,404.78240314237013,18.982952041880097,4.485773409208484,22.38760348595079,691.5443355707405,23.868127862266093,0.17164414638560618,0.16942230270856137,0.4925286691174158,0.8284050722566437
iECIAI1_1343,4.488648090815273,16.339349110001052,404.26327503274416,18.979083254121,4.488648090815273,22.409320197455195,697.1520175599975,23.965703891689884,0.17094151975025235,0.16907119746344768,0.6778474267293304,0.8610457185003286
iECIAI39_1322,4.413506493506493,16.106767938316768,404.82006311427784,18.982938939506926,4.413506493506493,22.160979499557957,689.7393184472443,23.905588030660986,0.16801656851993435,0.17072825612255266,0.5495482823358548,0.8772743772934521
iECNA114_1301,4.480231945176595,16.197670434851073,396.9755224983896,18.820865446900548,4.480231945176595,22.295985496635492,666.7727439173344,23.49075573891013,0.17053654115776884,0.16990848906790423,0.6566339414634346,0.8685195505247539
iECO103_1326,4.481846473029045,16.316332292984892,402.7442687463282,18.926985741195423,4.481846473029045,22.059559192723217,678.9379816640467,23.621102101207466,0.16833378186246598,0.16855409837371374,0.762850221705853,0.8874630965790881
iECO111_1330,4.482633488854328,16.24864580586826,400.7172489335271,18.87315624048049,4.482633488854328,22.074191177338392,682.5369797241572,23.672338074926685,0.16866140792193798,0.16863903174395975,0.6266091343148528,0.8714382648643945
iECO26_1355,4.497676819824471,16.415177376260942,406.8326433775438,19.02857181538635,4.497676819824471,22.31186751208803,683.5932652661564,23.73070368263177,0.1695151313155523,0.16822920641149386,0.6011586302161667,0.8535134637597307
iECOK1_1307,4.465165007857517,16.077127708166497,400.2792665649176,18.883370135495586,4.465165007857517,22.243979456007846,669.5708616607126,23.539209027136643,0.16794133276190612,0.16854862015358585,0.44127716892372426,0.8381099341829152
iEcolC_1368,4.481443298969072,16.352753353695057,406.7324486056156,19.033106683727706,4.481443298969072,22.460668164855054,695.3132293354878,23.945415705979837,0.1710862989776122,0.16843212710610708,0.5045265092004558,0.821638806370583
iECP_1309,4.470188284518828,16.128444634383737,399.47068057370154,18.877274863898176,4.470188284518828,22.324844744176342,675.8310027254835,23.652473986903615,0.16904360267893945,0.1691924741114993,0.5787730935005766,0.8566871199995794
iECs_1301,4.4965662968832545,16.16239607381179,394.5585561027388,18.75710907604774,4.4965662968832545,22.236224302980762,666.6930673635821,23.475153613127237,0.16854594987316374,0.16733169165361786,0.4192789596629902,0.8245430867533122
iECS88_1305,4.4524555903866245,15.98383086894324,397.13052038482977,18.81418464423118,4.4524555903866245,22.23034364108184,675.3305963011554,23.63600771499548,0.16745175008809318,0.16761725027510777,0.3634904445060241,0.8168487517584728
iECSE_1348,4.506486766995329,16.420614155225,403.66283134910043,18.96190776765653,4.506486766995329,22.319281376890384,679.1019132092098,23.65448196037959,0.16986831785112894,0.16818350315946604,0.5998383405553658,0.8499932799947388
iECSF_1327,4.466181061394381,16.080512533328733,403.1077205261581,18.961910016236267,4.466181061394381,22.310274224850495,680.139564741652,23.71461994963114,0.16897304474174363,0.1687929433049112,0.5845419869531625,0.8528367913853754
iEcSMS35_1347,4.483568075117371,16.22537430083106,402.50533317658693,18.94396412954964,4.483568075117371,22.39334813944303,679.1033556468167,23.697393119009465,0.17015807474442798,0.16952600819002236,0.552793020393644,0.8480168581651331
iECSP_1301,4.48941798941799,16.159330496500345,393.80677337137047,18.743454860935003,4.48941798941799,22.21525630931988,663.738156787324,23.42764652223833,0.16889704867068048,0.16752204309313629,0.3998951803747657,0.8180794639112741
iECUMN_1333,4.492396434189827,16.224704239534056,397.796697807894,18.83395603161551,4.492396434189827,22.27184197159512,666.0979831814496,23.45442576232491,0.17156084971362684,0.17246299036534918,1.1596949923763376,0.9640207481186163
iECW_1372,4.495625321667524,16.372524352943163,406.1132804064679,19.006607082185596,4.495625321667524,22.483753072977972,697.6904978166602,23.974071882648357,0.1714409436963263,0.16897918246130975,0.5207752895338196,0.8288448410585274
iEK1008,5.525283797729618,14.97461321076881,231.6065510660668,13.983665372751554,5.525283797729618,20.601923386190926,250.46008173969045,14.293986804295795,0.259162812868015,0.19611872466472333,1.1308037322956048,0.7650792276154106
iEKO11_1354,4.49124613800206,16.340187441874882,405.9115072638817,19.007833580161822,4.49124613800206,22.42983511273599,694.6823432553472,23.928374199805315,0.1706550902449889,0.16891576824849489,0.53701133699224,0.8394621910766771
iETEC_1333,4.485020661157025,16.361514470998614,404.9903581638682,19.007780559542105,4.485020661157025,22.528993780090907,698.6104222252017,24.0129843538444,0.17191644551345756,0.16967864163704582,0.7157049758143326,0.8618593638059331
iG2583_1286,4.480169222633527,16.10538414273008,392.6164343696091,18.705760187315327,4.480169222633527,22.21530630293408,666.5652490258975,23.48014591668557,0.16918286823301026,0.16988192595575669,0.8199731035461064,0.9010154784809514
iHN637,4.823529411764706,11.612051210308534,163.2658233054697,11.682148943338824,4.823529411764706,16.912777089029326,185.2696064632588,12.461651591245218,0.2365212237906841,0.2040286219381572,0.9982731822602462,0.8858713178571757
iIS312,4.2214876033057855,6.385458772668541,61.49285255848348,6.581525035948231,4.2214876033057855,8.746788847480445,84.82294268192177,7.924334953309027,0.11535437213472771,0.16429440786528338,4.9075140123830305,1.9622392766892889
iIS312_Amastigote,4.087603305785124,6.282384795495,62.642076170179706,6.638937586848113,4.087603305785124,8.57869328938723,79.01330509864201,7.7106894972042,0.11127023139373647,0.1571466000664973,4.314563359747144,1.8669037832147923
iIS312_Epimastigote,4.2132231404958675,6.383798477379678,61.58016744591558,6.585616551640571,4.2132231404958675,8.724004522042703,83.58288014118672,7.873862537219626,0.11538547597176474,0.16429690112626782,4.90554391478034,1.9615975464611117
iIS312_Trypomastigote,4.12396694214876,6.238735631512118,62.09769206465208,6.602698017873849,4.12396694214876,8.696888631382821,87.0417810213815,8.047495104815377,0.11237932027765654,0.16137179083851902,5.440606084187861,2.0422836892465113
iIT341,5.063917525773196,9.76708321608345,103.64944344523359,9.286219159961218,5.063917525773196,14.753718284205267,128.60593264581786,10.434784205990548,0.2240688883283669,0.2152162311370676,1.8911736592128214,1.2348291679386272
iJB785,5.423728813559322,13.277662969992532,154.63801981795822,11.429099864351178,5.423728813559322,14.855992260492,157.48200541450706,11.161522046124041,0.17561407812638916,0.16354096542275764,2.024840095210476,1.1714681484467118
iJN1463,4.562354040168146,18.03384287666787,524.0528340684905,21.3328113088339,4.562354040168146,24.164226048460197,802.156859296235,25.53196694157936,0.18526543208147195,0.17209608693298778,0.290450779896978,0.7660534371324381
iJN678,4.922012578616352,12.345913936119949,194.82441364701592,12.911421376213275,4.922012578616352,18.82234603908174,185.80647219885174,12.74659345354699,0.21945113058712867,0.18955719221248932,0.7020962486707396,0.7903433813130272
iJN746,4.8322295805739515,13.823489099314259,197.7081118736999,12.844735578154998,4.8322295805739515,14.71542038188938,267.87003511651983,14.27715618533578,0.1856344843532748,0.17817505532930333,1.27048131735914,1.0135080502535172
iJO1366,4.637119113573407,16.26091473236301,377.64388367222705,18.357666696207037,4.637119113573407,22.638374903983085,635.1505407427928,22.9111983109077,0.177407418655779,0.1676128872881813,0.3185114193445866,0.75554032538423
iJR904,5.332457293035479,13.43583027665983,169.15212143589477,12.127651984074618,5.332457293035479,18.02038881421784,243.03785918695826,14.058344385758943,0.23588869812568394,0.20173410675654976,1.9301297470539067,1.1212918182274496
iLB1027_lipid,6.3500922509225095,14.36280816184888,419.7307771070599,17.0249153331639,6.3500922509225095,19.206458400026087,774.3490471330213,23.648031048246782,0.14144604146593423,0.12574688865025635,1.902783178562773,1.0435920470253854
iLF82_1304,4.461498166579361,16.04221807195054,399.2634033140855,18.851690165600203,4.461498166579361,22.23466941276251,672.8485806990027,23.58893965051751,0.17000029762345456,0.17228199819514117,0.9285519672681755,0.9286444071570775
iLJ478,4.9491228070175435,11.07054924717113,124.88468474141996,10.35945156307107,4.9491228070175435,15.342151805973959,124.68999114429319,10.475876003706153,0.21470620593846262,0.17353480782575614,0.3734036868661419,0.7050372173608209
